Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2009,28,55,53,52,18,206
Alaska,2009,12,14,18,29,17,90
Arizona,2009,81,133,112,191,88,605
Arkansas,2009,32,46,45,61,17,201
California,2009,155,295,403,657,477,1987
Colorado,2009,52,96,82,106,61,397
Connecticut,2009,27,54,57,54,24,216
Delaware,2009,12,17,22,21,N/A,81
District of Columbia,2009,N/A,N/A,N/A,N/A,N/A,13
Florida,2009,175,356,345,480,234,1590
Georgia,2009,55,104,111,147,73,490
Hawaii,2009,N/A,N/A,11,20,14,57
Idaho,2009,N/A,N/A,N/A,N/A,N/A,62
Illinois,2009,127,216,224,233,86,886
Indiana,2009,42,64,70,100,43,319
Iowa,2009,15,37,38,32,19,141
Kansas,2009,17,26,44,42,19,148
Kentucky,2009,31,98,126,134,45,434
Louisiana,2009,12,30,30,37,13,122
Maine,2009,10,24,27,40,13,114
Maryland,2009,62,125,126,185,88,586
Massachusetts,2009,62,157,141,182,80,622
Michigan,2009,70,160,175,228,103,736
Minnesota,2009,38,43,74,71,46,272
Mississippi,2009,N/A,N/A,N/A,N/A,N/A,96
Missouri,2009,81,139,108,137,61,526
Montana,2009,N/A,15,21,38,N/A,89
Nebraska,2009,N/A,N/A,16,26,11,66
Nevada,2009,51,61,96,144,87,439
New Hampshire,2009,15,30,28,35,18,126
New Jersey,2009,N/A,N/A,N/A,N/A,N/A,55
New Mexico,2009,35,36,50,53,26,200
New York,2009,117,197,253,333,157,1058
North Carolina,2009,113,191,227,230,95,857
North Dakota,2009,N/A,N/A,N/A,N/A,N/A,17
Ohio,2009,55,177,161,189,82,664
Oklahoma,2009,59,116,122,176,95,568
Oregon,2009,29,69,84,122,64,368
Pennsylvania,2009,92,169,146,153,77,637
Rhode Island,2009,14,14,29,38,20,115
South Carolina,2009,25,45,52,79,37,238
South Dakota,2009,N/A,N/A,N/A,10,N/A,35
Tennessee,2009,56,113,142,153,71,535
Texas,2009,161,261,254,313,162,1151
Utah,2009,45,105,94,87,39,370
Vermont,2009,N/A,N/A,N/A,12,N/A,39
Virginia,2009,49,113,130,132,53,477
Washington,2009,57,129,161,213,148,708
West Virginia,2009,11,51,43,60,19,184
Wisconsin,2009,47,81,78,118,73,397
Wyoming,2009,N/A,N/A,N/A,N/A,N/A,32
